threshold_low,threshold_high,source,n_regime_0,n_regime_1,n_regime_2,max_abs_coefficient,converged
0.036643147309495826,0.15716379426502053,primary_tertile,45426,45562,45426,0.9099438500101824,True
0.1,0.5,biophysical,71848,61904,2662,0.662896263541778,True
0.021094984199226407,0.13047715107927127,quantile,27283,54565,54566,1.1782938850407583,True
0.02531134063830282,0.1505335652548172,quantile,34104,54565,47745,1.0487366911748304,True
0.031102748090305818,0.1700095829804807,quantile,40924,54566,40924,0.9442718925340894,True
0.03607377393810984,0.15833885251785254,quantile,45017,46380,45017,0.9151581218048097,True
0.04023967207941797,0.18963252303635617,quantile,47745,54565,34104,0.8493575851101721,True
0.053002305997044155,0.21063862634408495,quantile,54566,54565,27283,0.7751822841857,True
