neuron_label,H,p_value,n_branches,p_bh
exc_23P_864691134884807418,15.237019593138427,0.0004912733831779377,122,0.0018491945303423076
exc_23P_864691134886335738,2.566666666666677,0.2771120523885009,29,0.313805915257741
exc_23P_864691134886828794,14.484562545195956,0.0007156772415468369,138,0.0024572909952308587
exc_23P_864691134887444986,44.13569507995658,2.6064871362665027e-10,86,2.2822022757970448e-08
exc_23P_864691134919972106,12.028338077431158,0.002443878289282104,81,0.006458897332638467
exc_23P_864691134941412707,5.820197348134428,0.0544703547925539,46,0.07712425069303327
exc_23P_864691134941495395,3.328100048100069,0.18937046995202397,35,0.22606033766467182
exc_23P_864691134942169955,14.182908336527532,0.0008321863463328245,81,0.002741470583142648
exc_23P_864691134942468707,25.76684548250057,2.5398062960226444e-06,94,3.311040159083179e-05
exc_23P_864691134942472035,13.337444250417718,0.0012700206418622775,101,0.003867954604418161
exc_23P_864691134948788476,9.311980154676803,0.00950449839354636,88,0.018523808172654622
exc_23P_864691134950156796,5.291610716751393,0.07094819200421429,104,0.09618721274889673
exc_23P_864691134965778719,7.810390515295296,0.020137022199810686,94,0.033820073419634916
exc_23P_864691134966495519,34.66602892102338,2.9673410529059097e-08,86,1.0070119319226722e-06
exc_23P_864691134989865338,18.457645058023218,9.816875906524242e-05,84,0.0005582042736209795
exc_23P_864691134991010426,20.655787158378985,3.270791111531474e-05,94,0.00023232396665961105
exc_23P_864691135014734486,0.6137509549274114,0.7357422116895898,33,0.7526396404748052
exc_23P_864691135015605910,4.113288653632708,0.12788238216752074,52,0.16045336448014047
exc_23P_864691135015652246,14.569042839732504,0.0006860765003804998,90,0.0023967835911985432
exc_23P_864691135060651419,11.068038933990351,0.003950079921450552,137,0.009404533265101649
exc_23P_864691135060727707,5.659577163336564,0.05902533138748323,111,0.08248114935061382
exc_23P_864691135067961412,19.07982560443918,7.192311892023494e-05,86,0.00043561367776618216
exc_23P_864691135102151968,17.888588099465835,0.00013047954983415525,99,0.0006837384253564312
exc_23P_864691135102274592,10.731767613355373,0.004673328096240585,106,0.010686176973007883
exc_23P_864691135102353696,17.481863409422886,0.00015990483439580616,82,0.0007969150021870246
exc_23P_864691135102381856,21.855130916819803,1.7956373105040724e-05,91,0.00014822674014894623
exc_23P_864691135102434592,7.858788588810796,0.019655574439584954,53,0.0332728568106355
exc_23P_864691135115049881,23.86766266990668,6.564518903285531e-06,119,6.58917437334482e-05
exc_23P_864691135122469671,7.842491364927582,0.01981639442815419,137,0.033439188072133905
exc_23P_864691135134155168,17.483016260343504,0.00015981268773842484,102,0.0007969150021870246
exc_23P_864691135134695328,21.95772635614918,1.705847896112469e-05,145,0.0001424649531987679
exc_23P_864691135135019168,10.66954810598071,0.004820999279589813,62,0.010930324983842015
exc_23P_864691135136360217,0.5141176519168198,0.7733227209771621,62,0.7873161797377013
exc_23P_864691135155894884,9.117775590401209,0.010473701368775776,112,0.01988701023662754
exc_23P_864691135157198692,0.5567777514231551,0.7570023844274201,31,0.7721713253367481
exc_23P_864691135164772653,1.9476846504977061,0.377629272483407,87,0.412555638512787
exc_23P_864691135164887085,9.15111697063503,0.010300544868230243,97,0.019681281653466127
exc_23P_864691135164887853,17.50722433517234,0.00015788996879214582,85,0.0007924149137972014
exc_23P_864691135183999490,4.732083221694495,0.0938514927057284,84,0.12257452132244796
exc_23P_864691135195825450,6.081302935375334,0.0478037367579521,51,0.06887088220249434
exc_23P_864691135209116537,28.879700963885966,5.356148583855349e-07,103,1.0803250634228996e-05
exc_23P_864691135209194617,17.85444906776388,0.00013272589000541622,100,0.0006904329752593184
exc_23P_864691135209432185,17.716710441771596,0.00014218874100841857,57,0.0007238084006571402
exc_23P_864691135210134905,21.145641025641055,2.560250107981852e-05,89,0.0001941069053498298
exc_23P_864691135210387321,4.537386221029067,0.10344728594996022,68,0.13356984082290466
exc_23P_864691135214986368,9.421718641718655,0.008997042912983729,74,0.017810812729591865
exc_23P_864691135234382937,13.091349230479693,0.0014363147958142248,65,0.004258872221181756
exc_23P_864691135257404079,18.970602199861787,7.596019537615419e-05,117,0.0004549100776308618
exc_23P_864691135257521583,28.732660404448666,5.764771105293899e-07,118,1.151876693749379e-05
exc_23P_864691135257638575,17.93753205858468,0.0001273252108378032,65,0.0006704958147074464
exc_23P_864691135257669039,12.35739959512324,0.002073121580800529,86,0.0056970873261587805
exc_23P_864691135258509487,5.702060439560441,0.05778475919737691,39,0.08095924977981117
exc_23P_864691135258646703,18.492762951334356,9.646006440214533e-05,49,0.0005499509805114312
exc_23P_864691135270320293,19.33314059641367,6.336681234243895e-05,129,0.0003930163392127453
exc_23P_864691135271081125,14.291498451592474,0.0007882074622456269,82,0.002628997744588378
exc_23P_864691135272003237,5.074479934547924,0.07908437430510518,94,0.1056764951651968
exc_23P_864691135272206865,15.438300031121997,0.00044423803889348767,61,0.001717506197385672
exc_23P_864691135273918993,20.94692958559739,2.827691550282538e-05,127,0.00021212647489487953
exc_23P_864691135274038801,7.843020194427197,0.01981115537385153,93,0.033439188072133905
exc_23P_864691135274195217,23.200532161841693,9.163649139628598e-06,98,8.555406925993862e-05
exc_23P_864691135275621605,18.636310327533636,8.977938598264439e-05,69,0.0005187792627861992
exc_23P_864691135275949029,24.345423187001302,5.169618860676529e-06,131,5.5540930271992055e-05
exc_23P_864691135276132325,21.325880782773822,2.339611929642822e-05,106,0.00018123515599914323
