threshold_low,threshold_high,source,n_regime_0,n_regime_1,n_regime_2,max_abs_coefficient,converged
0.04031615181491698,0.14843115329863496,primary_tertile,7696,7719,7696,1.2550807638964663,True
0.1,0.5,biophysical,12679,9927,505,1.2896171364306501,True
0.0227487874332178,0.1202726653207754,quantile,4622,9244,9245,1.5461019420035609,True
0.02771109113009285,0.14107578535800352,quantile,5778,9244,8089,1.4279026134081543,True
0.0346053682215212,0.1635651002897304,quantile,6933,9244,6934,1.336473097271346,True
0.039786380522744184,0.14952759332464255,quantile,7627,7857,7627,1.2723900646977622,True
0.04378158887111158,0.18729861310312756,quantile,8089,9244,5778,1.2237684173922265,True
0.0545992794386563,0.2152709549326351,quantile,9244,9244,4623,1.1657169356249,True
