neuron_label,H,p_value,n_branches,p_bh
exc_23P_864691135304641703,21.38985630296844,2.2659572882970603e-05,125,0.0001439865156860718
exc_23P_864691135404763374,24.733954330665938,4.256866782612455e-06,150,3.6339106680838024e-05
exc_23P_864691135409940425,5.230190286103436,0.07316082762043247,93,0.10161226058393398
exc_23P_864691135463695429,27.464386851346376,1.0868864406854452e-06,94,1.593487367609359e-05
exc_23P_864691135469753426,6.923004974074388,0.03138257466642234,78,0.04817500497038516
exc_23P_864691135480718022,10.586268292771365,0.005025983381433098,85,0.011068162366839262
exc_23P_864691135492749415,17.12025857842724,0.00019159452093412435,93,0.0008221946710731348
exc_23P_864691135493051879,8.931322094054991,0.011497093128181571,69,0.021290913200336242
exc_23P_864691135502885954,6.148003499769175,0.046235760205261225,93,0.0678026715227034
exc_23P_864691135591041291,22.08800180706146,1.5982744226849222e-05,109,0.00010968549959602407
exc_23P_864691135659358850,20.960349062883836,2.808781989066552e-05,142,0.00016977908055894577
exc_23P_864691135731679929,15.29429315223544,0.0004774044245359304,75,0.0016709154858757565
exc_23P_864691135742756203,13.170072115384613,0.0013808775754440947,64,0.0037465670651583966
exc_23P_864691135773073147,24.89542869055066,3.926687568893624e-06,103,3.435851622781921e-05
exc_23P_864691135802453858,7.531360040619461,0.023151863143914955,100,0.03633700493439567
exc_23P_864691135878468435,11.168592159014707,0.0037563930413748465,70,0.008764917096541308
exc_23P_864691135886208112,4.563674250187887,0.10209647033307717,41,0.137968203152807
exc_23P_864691135892048777,32.04435837930566,1.1006671118596352e-07,123,2.8245737665702988e-06
exc_23P_864691136043380566,11.934472646374786,0.0025613102803012373,57,0.006496076797865457
exc_23P_864691136102330485,15.541577049595162,0.00042188047240388735,95,0.0014914966196097027
exc_23P_864691136144674612,3.84301007224596,0.1463864793153827,42,0.18298309914422836
exc_23P_864691136373008520,23.83722001178893,6.665203941716991e-06,116,5.188063101952675e-05
exc_23P_864691136596815778,14.176831034272311,0.0008347189161618884,150,0.0024970223987748797
exc_4P_864691134887460346,4.021958822676538,0.13385750888474776,65,0.17098586901336393
exc_4P_864691135060020123,4.534207317073168,0.10361184118490495,40,0.13894308204872313
exc_4P_864691135119709149,8.84692949907236,0.011992608833053451,55,0.02186152651858702
exc_4P_864691135276505573,9.155351287426754,0.010278760052270795,53,0.019551989229862926
exc_4P_864691135336113129,4.369102792632191,0.11252820289946236,50,0.14862215477287483
exc_4P_864691135346685855,2.0667859272510327,0.3557977015838581,43,0.40300710535388456
exc_4P_864691135375484489,2.0221997300944565,0.3638186080640299,39,0.41076294458842083
exc_4P_864691135465113157,1.3360195360195348,0.5127280106852135,26,0.5558320435594157
exc_4P_864691135465343045,6.123358784073048,0.04680901848106086,48,0.0678026715227034
exc_4P_864691135499821331,11.654380764163392,0.0029463434613413455,45,0.007313618521060077
exc_4P_864691135519105162,6.547611557992155,0.03786205790612428,33,0.0575581305341523
exc_4P_864691135569866988,6.133816349763208,0.04656490305768055,42,0.0678026715227034
exc_4P_864691135591726603,5.431916404009428,0.06614154567174924,42,0.09259816394044892
exc_4P_864691135616048587,10.110255348516205,0.006376552588737727,45,0.013364032371606015
exc_4P_864691135619463567,4.658500471126672,0.09736872333461719,45,0.13312130143404693
exc_4P_864691135640297787,14.856725146198812,0.000594159608748043,38,0.0019363032779142174
exc_4P_864691135728030015,7.560648501824957,0.022815292346217028,33,0.035970055500792616
exc_4P_864691135732557241,4.28614762386249,0.11729374941276251,42,0.1537558512901381
exc_4P_864691135742097044,5.039482029598304,0.08048044729552663,43,0.11103688316600119
exc_4P_864691135764015926,0.495358442726868,0.7806103062300661,38,0.801212924283059
exc_4P_864691135787537348,10.585422998986814,0.005028108046649836,47,0.011068162366839262
exc_4P_864691135838788755,4.347619047619062,0.11374348200935173,35,0.14966247632809437
exc_4P_864691135853091015,6.3075359599749845,0.04269096472911615,40,0.06358228789442831
exc_4P_864691135911276969,9.003328901268475,0.011090521541533742,57,0.020757660639234277
exc_4P_864691136021865976,16.320641711229968,0.0002857706889558791,54,0.0010871710992886704
exc_4P_864691136085781356,14.420337863493984,0.0007390322988996616,51,0.0022689588124112413
exc_4P_864691136299034139,0.7999999999999972,0.3710933695226982,24,0.4176291939966057
exc_5PET_864691135124538151,25.77856257776523,2.5249702212203e-06,147,2.5249702212203e-05
exc_5PET_864691135456207722,24.565305010893212,4.631394693881893e-06,72,3.859495578234911e-05
exc_5PET_864691135503182685,60.41291344217666,7.612065702457772e-14,187,2.6642229958602204e-11
exc_5PET_864691135660029314,42.72925561243892,5.265747567948981e-10,154,7.452494778868768e-08
exc_5PET_864691136084313196,36.30397228889518,1.30825553814088e-08,102,5.72361797936635e-07
exc_5PIT_864691135293096118,19.928599110392668,4.7050006433455194e-05,118,0.0002573047226829581
exc_5PIT_864691135309628742,18.272834772900865,0.00010767238789795388,61,0.0005307793769617445
exc_5PIT_864691135324725404,4.499108734402839,0.10544620438037058,33,0.14086325012644926
exc_5PIT_864691135360482392,4.175127902400618,0.041021466265409506,32,0.06182988489952328
exc_5PIT_864691135447312274,16.79414088736121,0.00022552705155183786,59,0.0009286408005075677
exc_5PIT_864691135448698196,12.34530612244896,0.002085695176693356,49,0.005407357865501293
exc_5PIT_864691135492991839,9.660398860398871,0.007984928671237656,26,0.015969857342475312
exc_5PIT_864691135499964947,26.594471491939828,1.6791283374209505e-06,78,2.098910421776188e-05
