neuron_label,root_id,cell_type,subtype,branch_idx,branch_order,mean_diameter_nm,total_length_nm,electrotonic_length,soma_distance_nm,synapse_count,exc_count,inh_count,exc_fraction,regime,clark_evans_raw,interval_cv_raw,pairwise_compactness_raw,clark_evans_z,interval_cv_z,pairwise_compactness_z
inh_NGC_864691135106309709,864691135106309709,inhibitory_NGC,NGC,0,0,429.8961038961039,302179.07788157393,0.7982579718914744,151089.53894078697,5,0,3,0.0,2,0.008862022755869777,0.7666965161196769,0.0024024377861886757,-2.8090444563857946,0.1267691899433077,-3.544830296421107
inh_NGC_864691135106309709,864691135106309709,inhibitory_NGC,NGC,1,4,478.15384615384613,34730.449808224934,0.08699358103972088,348278.0892566012,27,5,1,0.8333333333333334,1,1.0669512844778015,0.8367292901019528,0.3530857258166871,0.6889246965771681,-0.6618484919181565,0.6458319979974293
inh_NGC_864691135106309709,864691135106309709,inhibitory_NGC,NGC,2,4,596.8333333333334,18116.77546078555,0.040617668778020886,339971.2520828815,34,3,2,0.6,0,1.102892084227422,0.7809817326701791,0.35513022866047117,1.0454427542658205,-1.2103358758992286,0.8323385150844671
inh_NGC_864691135106309709,864691135106309709,inhibitory_NGC,NGC,3,2,350.3076923076923,21580.673400640047,0.06315398834143136,346120.6259590806,17,1,1,0.5,1,1.1831396160794754,0.6815683725969987,0.38583310755873024,1.3007143267744783,-1.2020349038474647,1.2841568218372756
inh_NGC_864691135106309709,864691135106309709,inhibitory_NGC,NGC,4,2,462.7083333333333,77465.13133103392,0.19724828154877835,374062.8549242775,113,28,11,0.717948717948718,2,1.1630956453569168,0.842926713265669,0.34189181295415333,2.2614567352440207,-1.619403819800454,0.5839462138564008
inh_NGC_864691135106309709,864691135106309709,inhibitory_NGC,NGC,5,2,574.5,7330.094122513373,0.01675039921505557,329521.42603207607,10,2,0,1.0,0,0.7881577911309188,0.7485075817439747,0.37564508760388265,-0.4617184523889117,-0.5236423086236828,0.7302353910371212
inh_NGC_864691135106309709,864691135106309709,inhibitory_NGC,NGC,6,2,446.3225806451613,98973.39630667576,0.25659882957422286,375343.0771241572,130,22,8,0.7333333333333333,2,1.0092977812878459,0.9019877562409654,0.3449491191461307,0.23959364059655064,-1.0144690892802388,0.8464433859681736
inh_NGC_864691135106309709,864691135106309709,inhibitory_NGC,NGC,7,5,408.6666666666667,15029.035395558749,0.040719939765743646,356544.1575110536,15,5,1,0.8333333333333334,0,1.1983990506245001,0.6510116691054154,0.35832203298232795,1.3517867755620785,-1.2742323207764614,0.6432790628017292
inh_NGC_864691135106309709,864691135106309709,inhibitory_NGC,NGC,8,5,401.53846153846155,43544.12970899943,0.11902184194769919,370801.70466777397,51,6,5,0.5454545454545454,1,1.06955327728186,0.8072561233458947,0.35619683631788374,0.8538130506935444,-1.3117036741498151,1.0446577319242332
inh_NGC_864691135106309709,864691135106309709,inhibitory_NGC,NGC,9,5,557.0714285714286,49672.82523758888,0.11527205805091935,392622.43787647504,98,14,8,0.6363636363636364,1,1.012778628389914,0.8359213513778201,0.31538147710566694,0.3864935224346027,-1.603770348393335,-1.1438352388332458
inh_NGC_864691135106309709,864691135106309709,inhibitory_NGC,NGC,10,5,516.0,11456.20312250981,0.027623358625783096,373514.1268189355,16,2,1,0.6666666666666666,0,1.1700747613231288,0.811496185520765,0.387312607157065,1.2403096546395307,-0.5406172617616609,1.2560277001731244
inh_NGC_864691135106309709,864691135106309709,inhibitory_NGC,NGC,11,3,470.1818181818182,57749.64961501662,0.14587372240065663,367205.294048257,96,27,14,0.6585365853658537,1,1.0837385330215419,0.7580471256029881,0.3210504075809956,1.1367600883375457,-2.3612490500864705,-0.75983273192753
inh_NGC_864691135106309709,864691135106309709,inhibitory_NGC,NGC,12,3,453.9,36040.85442978478,0.09265644094059965,356350.8964556411,52,10,12,0.45454545454545453,1,1.1562410546714927,0.7749568356245644,0.3526102025141494,1.6840660420177131,-1.6091081993651803,0.9827896284634269
inh_NGC_864691135106309709,864691135106309709,inhibitory_NGC,NGC,13,3,434.7027027027027,62894.407630648006,0.1652252768583769,371765.0790964928,81,17,3,0.85,2,1.2172376519019217,0.7808111382874521,0.3345500799095769,2.6566001688715293,-1.9451231681748349,0.05603708538302226
inh_NGC_864691135106309709,864691135106309709,inhibitory_NGC,NGC,14,3,426.4390243902439,76189.29347162688,0.2020812888264097,378412.5220169822,117,28,9,0.7567567567567568,2,1.1453295797763885,0.8219016282090488,0.3169891793290523,2.0785974145683626,-1.827667263433458,-1.1919367129934622
inh_NGC_864691135106309709,864691135106309709,inhibitory_NGC,NGC,15,3,980.5,6187.904466590477,0.010823816688828468,326403.8443582783,15,0,0,,0,0.6559348231770021,0.9345725078865128,0.3315960891356587,-1.413635742226527,0.11335256514332297,-0.06318336594359804
inh_NGC_864691135106309709,864691135106309709,inhibitory_NGC,NGC,16,3,631.6666666666666,18970.07811603534,0.041341455894676415,332794.93118300074,27,12,0,1.0,1,1.0438403621106764,0.7598062407121535,0.3609099569398312,0.5715111862135231,-1.160604997951379,0.9045899829240899
inh_NGC_864691135106309709,864691135106309709,inhibitory_NGC,NGC,17,3,723.3333333333334,5578.034459546712,0.011359849578071558,338187.9193478733,8,0,0,,0,0.663972802268335,0.8596633096129146,0.235547315723775,-0.8599441810177809,0.11693440965543363,-1.5161461246117636
inh_NGC_864691135106309709,864691135106309709,inhibitory_NGC,NGC,18,3,736.1818181818181,17328.876173495784,0.034981504359392235,344063.34020484786,40,2,11,0.15384615384615385,0,0.9934913751105121,0.8199311942081965,0.33331038213813197,0.1594337287042127,-1.0743285401796303,-0.01309749871371147
inh_NGC_864691135106309709,864691135106309709,inhibitory_NGC,NGC,19,2,926.9090909090909,19044.068442641077,0.034261138472810725,325876.86789677944,31,2,3,0.4,0,0.9507270185930385,0.8269967984612762,0.30328086660297127,-0.1412403012575207,-0.7773894699751632,-1.0553966598881566
inh_NGC_864691135106309709,864691135106309709,inhibitory_NGC,NGC,20,2,605.0909090909091,23963.041605709856,0.05335710464240325,328336.3544783138,35,10,0,1.0,1,1.209857287229378,0.6308065932047516,0.3300784569112555,1.8139945616850222,-2.2488673398410124,-0.1221324911014205
inh_NGC_864691135106309709,864691135106309709,inhibitory_NGC,NGC,21,4,437.6666666666667,8092.956234982826,0.02118829854234808,400126.59697325673,10,0,7,0.0,0,1.0631618056473895,0.5934357626723616,0.35336685585116945,0.8060276562641426,-1.1973389252663675,0.35008274316212307
inh_NGC_864691135106309709,864691135106309709,inhibitory_NGC,NGC,22,4,422.0,24781.29095920681,0.06607365459329617,408470.7643353687,31,7,3,0.7,1,1.227968861168296,0.7163245474151325,0.33570827841823014,1.874531779308248,-1.4923419064778563,0.12404877428642246
inh_NGC_864691135106309709,864691135106309709,inhibitory_NGC,NGC,23,5,497.48148148148147,63450.55758439805,0.1558144068548247,387044.28568785096,116,20,24,0.45454545454545453,2,1.2049971622032087,0.7877770739817457,0.3165209738527082,2.917415765143156,-2.343149841827643,-1.2114499374300238
inh_NGC_864691135106309709,864691135106309709,inhibitory_NGC,NGC,24,5,403.5,19377.087415038324,0.052835686704319464,365007.5506031711,29,3,4,0.42857142857142855,1,1.1073049605836256,0.8093424702479111,0.37570897387273255,0.8919968665120809,-0.822302860758921,1.3922776444470084
inh_NGC_864691135106309709,864691135106309709,inhibitory_NGC,NGC,25,4,384.14285714285717,20975.025459265078,0.05861607617178553,363827.74736904446,21,6,0,1.0,1,0.8900316296425016,0.8285896924368114,0.37227720996857233,-0.35134328406549,-0.5723589572149604,1.0299983046604861
inh_NGC_864691135106309709,864691135106309709,inhibitory_NGC,NGC,26,4,576.7142857142857,52950.72507180295,0.12076808618639824,379815.5971753134,86,14,5,0.7368421052631579,1,1.0583566965300149,0.7953394607713046,0.339481315785302,0.8209315218383563,-1.8733233926952104,0.3467867332139216
inh_NGC_864691135106309709,864691135106309709,inhibitory_NGC,NGC,27,5,520.8125,55963.04225992678,0.1343139877304422,387090.0160146872,91,17,13,0.5666666666666667,1,1.0688281493111689,0.7688397510877774,0.35042720572473596,0.9514491465895444,-2.226480448388727,1.0323885768212522
inh_NGC_864691135106309709,864691135106309709,inhibitory_NGC,NGC,28,5,480.72727272727275,15438.238045780965,0.03856638921158318,366827.61390761426,29,1,6,0.14285714285714285,0,1.1957124597817306,0.7319149713011576,0.36737262015830485,1.6125391965273874,-1.402331894179514,1.1130863556403026
